text_id,token,lexicon_value,neg_score,neu_score,pos_score,token_compound
3,milik,0.0,0.0,1.0,0.0,0.0
3,jiwa,0.0,0.0,1.0,0.0,0.0
3,seni,0.0,0.0,1.0,0.0,0.0
3,ia,0.0,0.0,1.0,0.0,0.0
3,milik,0.0,0.0,1.0,0.0,0.0
3,ide,0.0,0.0,1.0,0.0,0.0
3,kreatif,4.0,0.0,0.0,1.0,0.7184
3,yang,0.0,0.0,1.0,0.0,0.0
3,cukup,3.0,0.0,0.0,1.0,0.6124
3,banyak,0.0,0.0,1.0,0.0,0.0
3,namun,0.0,0.0,1.0,0.0,0.0
3,saat,0.0,0.0,1.0,0.0,0.0
3,jiwa,0.0,0.0,1.0,0.0,0.0
3,dan,0.0,0.0,1.0,0.0,0.0
3,pikir,0.0,0.0,1.0,0.0,0.0
3,nya,0.0,0.0,1.0,0.0,0.0
3,ganggu,-4.0,1.0,0.0,0.0,-0.7184
3,oleh,0.0,0.0,1.0,0.0,0.0
3,buah,0.0,0.0,1.0,0.0,0.0
3,peristiwa,0.0,0.0,1.0,0.0,0.0
3,maka,0.0,0.0,1.0,0.0,0.0
3,ia,0.0,0.0,1.0,0.0,0.0
3,akan,0.0,0.0,1.0,0.0,0.0
3,fokus,0.0,0.0,1.0,0.0,0.0
3,dalam,0.0,0.0,1.0,0.0,0.0
3,deteksi,0.0,0.0,1.0,0.0,0.0
3,peristiwa,0.0,0.0,1.0,0.0,0.0
3,sebut,0.0,0.0,1.0,0.0,0.0
3,dan,0.0,0.0,1.0,0.0,0.0
3,kreativitas,0.0,0.0,1.0,0.0,0.0
3,yang,0.0,0.0,1.0,0.0,0.0
3,awal,0.0,0.0,1.0,0.0,0.0
3,di,0.0,0.0,1.0,0.0,0.0
3,laku,3.0,0.0,0.0,1.0,0.6124
3,nya,0.0,0.0,1.0,0.0,0.0
3,akan,0.0,0.0,1.0,0.0,0.0
3,henti,0.0,0.0,1.0,0.0,0.0
3,namun,0.0,0.0,1.0,0.0,0.0
3,yang,0.0,0.0,1.0,0.0,0.0
3,pasti,0.0,0.0,1.0,0.0,0.0
3,ia,0.0,0.0,1.0,0.0,0.0
3,akan,0.0,0.0,1.0,0.0,0.0
3,temu,0.0,0.0,1.0,0.0,0.0
3,ide,0.0,0.0,1.0,0.0,0.0
3,baru,0.0,0.0,1.0,0.0,0.0
3,dalam,0.0,0.0,1.0,0.0,0.0
3,hadap,0.0,0.0,1.0,0.0,0.0
3,peristiwa,0.0,0.0,1.0,0.0,0.0
3,sebut,0.0,0.0,1.0,0.0,0.0
3,tapi,0.0,0.0,1.0,0.0,0.0
3,bagaimana,0.0,0.0,1.0,0.0,0.0
3,dapat,0.0,0.0,1.0,0.0,0.0
3,ia,0.0,0.0,1.0,0.0,0.0
3,temu,0.0,0.0,1.0,0.0,0.0
3,kreativitas,0.0,0.0,1.0,0.0,0.0
3,ide,0.0,0.0,1.0,0.0,0.0
3,nya,0.0,0.0,1.0,0.0,0.0
3,sementara,-1.0,1.0,0.0,0.0,-0.25
3,ia,0.0,0.0,1.0,0.0,0.0
3,dalam,0.0,0.0,1.0,0.0,0.0
3,masalah,-4.0,1.0,0.0,0.0,-0.7184
3,m,0.0,0.0,0.0,0.0,0.0
3,karena,0.0,0.0,1.0,0.0,0.0
3,ia,0.0,0.0,1.0,0.0,0.0
3,anggap,0.0,0.0,1.0,0.0,0.0
3,di,0.0,0.0,1.0,0.0,0.0
3,balik,0.0,0.0,1.0,0.0,0.0
3,peristiwa,0.0,0.0,1.0,0.0,0.0
3,itu,0.0,0.0,1.0,0.0,0.0
3,ada,0.0,0.0,1.0,0.0,0.0
3,hikmah,0.0,0.0,1.0,0.0,0.0
4,hallo,0.0,0.0,1.0,0.0,0.0
4,admin,0.0,0.0,1.0,0.0,0.0
4,meta,0.0,0.0,1.0,0.0,0.0
4,jauh,-2.0,1.0,0.0,0.0,-0.4588
4,ini,0.0,0.0,1.0,0.0,0.0
4,aplikasi,0.0,0.0,1.0,0.0,0.0
4,threads,0.0,0.0,1.0,0.0,0.0
4,sudah,0.0,0.0,1.0,0.0,0.0
4,bagus,4.0,0.0,0.0,1.0,0.7184
4,tapi,0.0,0.0,1.0,0.0,0.0
4,kenapa,0.0,0.0,1.0,0.0,0.0
4,kalau,0.0,0.0,1.0,0.0,0.0
4,mau,0.0,0.0,1.0,0.0,0.0
4,posting,0.0,0.0,1.0,0.0,0.0
4,ke,0.0,0.0,1.0,0.0,0.0
4,instagram,0.0,0.0,1.0,0.0,0.0
4,story,0.0,0.0,1.0,0.0,0.0
4,tidak,0.0,0.0,1.0,0.0,0.0
4,muncul,0.0,0.0,1.0,0.0,0.0
4,background,0.0,0.0,1.0,0.0,0.0
4,tulis,0.0,0.0,1.0,0.0,0.0
4,threadsnya,0.0,0.0,1.0,0.0,0.0
4,yah,0.0,0.0,1.0,0.0,0.0
4,tolong,0.0,0.0,1.0,0.0,0.0
4,tampil,0.0,0.0,1.0,0.0,0.0
4,kembali,-1.0,1.0,0.0,0.0,-0.25
4,karena,0.0,0.0,1.0,0.0,0.0
4,turut,0.0,0.0,1.0,0.0,0.0
4,saya,0.0,0.0,1.0,0.0,0.0
4,itu,0.0,0.0,1.0,0.0,0.0
4,sangat,0.0,0.0,1.0,0.0,0.0
4,bagus,4.0,0.0,0.0,1.0,0.7184
4,sekali,0.0,0.0,1.0,0.0,0.0
4,karena,0.0,0.0,1.0,0.0,0.0
4,tambah,0.0,0.0,1.0,0.0,0.0
4,kesan,3.0,0.0,0.0,1.0,0.6124
