Word,Frequency
efisien,146
selain,145
rek,145
penuh,145
install,145
lbh,144
user,144
bohong,143
ngirim,143
jaga,143
mitra,143
para,143
to,143
telepon,142
keluh,141
supaya,140
r,139
recomended,139
metode,139
pakek,139
juta,138
males,138
pisah,137
cair,136
bagusss,136
tangan,136
baca,135
sungguh,135
asli,134
muda,134
wah,134
gara,132
notifikasi,131
loading,131
fungsi,131
tari,131
loh,131
bicara,131
a,130
voucher,129
walaupun,127
aktivitas,127
qr,126
jiwa,126
smua,126
you,126
sebut,126
kredit,125
gede,123
buru,123
nabung,122
tuk,122
ngajuin,121
mahal,121
detik,120
donk,119
narik,119
telpon,119
bri,119
adalah,119
mantapppp,119
fast,118
uninstall,118
masyarakat,118
indomaret,118
maka,117
full,117
niat,117
pribadi,117
jek,115
rp,115
sejak,115
begini,115
sngat,115
takut,114
siap,113
m,113
s,113
balikin,113
syarat,113
adminnya,113
sana,112
batal,112
kesini,112
pending,111
ayo,111
sempurna,111
bang,110
nyangkut,110
seluruh,110
milik,110
bisnis,109
canggih,109
goto,109
pesan,109
kepada,108
wajah,108
rekomended,108
sumpah,108
nambah,108
by,108
entah,107
pokoke,107
kilat,107
jual,107
love,106
easy,105
okey,105
dikit,105
cpt,103
payment,103
lima,103
walet,103
gopaynya,103
kocak,103
saudara,102
coin,102
dukcapil,102
banyakin,101
internet,101
wow,101
karya,101
uninstal,101
jakarta,101
tenor,100
konfirmasi,100
mas,100
khusus,100
org,100
kren,100
refund,100
daerah,100
tempat,99
trf,99
tiga,99
asik,99
dukung,99
batas,99
pemberitahuan,98
cakep,97
berkah,97
transper,97
rekomen,97
banding,96
dia,96
sandi,96
gabung,96
mengunakan,95
nasabah,94
mksh,94
pinjol,94
tengah,93
sehingga,93
masak,93
ragu,93
pagi,93
sederhana,93
konsumen,93
tu,93
play,92
bangat,92
nilai,92
ber,92
ken,92
bodoh,92
adu,92
alfama,92
lemah,91
developer,91
jujur,91
thank,91
auto,91
alami,91
lokasi,91
gopai,90
bakal,90
allah,90
gopaypinjam,90
pinjem,89
undang,89
kapok,89
minimal,89
waji,89
beneran,88
satset,88
ma,88
beres,88
ikan,87
tokped,87
worth,87
id,86
gopayy,86
salam,86
anti,86
bangettt,85
mantull,85
amin,85
kira,85
t,84
o,84
gada,84
semangat,84
kerenn,83
jenis,83
he,82
gopey,82
okay,82
friendly,82
setia,82
merchant,81
ampun,81
tinggi,81
selamat,81
tawar,81
wa,80
daripada,80
rusak,80
urgent,80
virtual,80
mandiri,80
hitung,79
jaman,79
nyimpen,79
laki,79
klau,79
aplikasih,79
aktivasi,79
all,78
ah,78
pusing,78
pdhal,78
keluarga,78
mu,78
boss,78
siapa,78
komplit,78
juragan,78
q,77
capek,77
ujung,77
google,77
meski,76
dasar,76
call,76
sms,76
banking,76
walau,76
mantulll,76
sisa,76
kenal,75
gx,75
jarang,75
kalah,75
w,74
gandos,74
kacau,74
bila,74
kah,74
dehh,74
da,73
order,73
busuk,73
va,73
seba,72
mantaps,72
alias,71
rupiah,71
nggk,71
gopartner,71
arti,71
tindak,71
aamiin,70
jumlah,70
nyaa,70
fleksibel,70
goood,70
wkwk,70
maksud,69
maling,69
mereka,69
adm,69
sngt,68
kerennn,68
toko,68
ter,68
emoney,68
diri,68
koin,68
matap,68
pln,68
okee,67
modal,67
sekian,67
asa,67
gas,67
bad,67
paksa,67
paylaternya,66
heran,66
per,66
bot,66
cm,66
non,66
coins,65
tentang,65
luck,65
far,65
okeh,65
kosong,64
shopee,64
ajah,64
demi,63
sesuatu,63
sempat,63
upload,63
seru,63
barang,63
darurat,63
nge,63
now,63
ulas,62
muter,62
yes,62
dunia,62
for,62
costumer,62
hingga,62
pergi,62
p,61
real,61
arah,61
produk,61
applikasi,61
tertawa,61
pt,61
ojk,61
bahwa,61
great,61
responsif,61
amazing,61
log,60
sagat,60
mantabs,60
wifi,60
siiip,60
tim,60
bawah,60
efektif,60
knapa,60
jempol,60
pikir,60
stabil,60
dech,59
mati,59
hadeh,59
minjam,59
catat,59
sehat,59
lh,59
center,58
time,58
sanggat,58
yakin,58
ramah,58
misal,58
gercep,57
inovasi,57
opsi,57
c,57
beku,57
mmbantu,57
ingat,57
awas,57
aktifitas,56
curiga,56
jangkau,56
mantaaaap,56
gunain,56
jari,56
god,56
gopaylaternya,56
fasilitas,56
bijak,56
turun,56
pusat,56
kait,56
bagussss,55
jt,55
wilayah,55
administrasi,55
mesti,55
asu,55
istimewa,55
normal,55
rilis,55
blok,55
lai,55
kemudian,54
mantappppp,54
tera,54
pak,54
jossss,54
sangan,54
perhati,54
cinta,54
rating,54
muka,53
link,53
alih,53
era,53
leter,53
jajan,53
panjang,53
se,53
antri,53
digopay,52
profesional,52
barcode,52
bobol,52
responnya,52
tiket,52
angsur,52
elektronik,52
bangga,52
inti,52
lindung,52
situ,52
mengapa,52
bahagia,52
